128;"""Уфа - Сады """"Нарат""""""";152;42,799552452519
47;Белебей - Уфа;530Р;24,7940817923993
59;Бижбуляк - Уфа ч/з Аксеново;560;185,424004959719
147;Бирск - Уфа ч/з Зап. развилку;535;77,6830113219211
52;Дюртюли - Уфа;536;99,7104903695154
84;Исянгулово - Уфа;611;124,219898246328
145;Калтасы - Уфа;564;121,174100601609
131;Красноусольск - Уфа;552;12
67;Мелеуз - Уфа;581;165,586510340373
359;Уфа южный АВ - Бузовьязы;129;8,22764886220296
21;Чишмы-Уфа;151;15,2634159397682
111;Шаран - Уфа ч/з Чекмагуш;809;134,1345194361
74;Нефтекамск АВ - Уфа (Южный автовокзал);588;145,73797946114
136;Октябрьский - Уфа экспресс;600;20,3674608019664
103;Саит-Баба-Уфа;741;93,9347196209421
132;сан. Красноусольск - Уфа;552С;125,946257441769
195;Кармаскалы- Уфа (Южный автовокзал);253 к;31,8413162574918
77;Туймазы - Уфа;590;156,91845793143
155;Туймазы - Уфа через Кандры;595;148,035823842553
73;Уфа - Агидель;586;146,971286165956
66;Уфа - Акъяр;578;161,318428052147
23;Уфа - Александровка;154;30,3793334427521
68;Уфа - Архангельское ч/з Булгаково;582;10,0090892105362
83;Уфа - Архангельское ч/з Кабаково;604;68,2589928640718
60;Уфа - Аскино ч/з Благовещенск;567;69,1108717143587
61;Уфа - Аскино ч/з Зап. развилку;567;73,1464163170671
48;Уфа - Белебей;530;116,734968336534
51;Уфа - Бирск ч/з Благовещенск;534;18,1810896598365
134;Уфа - Бураево ч/з Зап. развилку;594;87,5836579731424
53;Уфа - В. Татышлы;547;75,6521489489582
79;Уфа - Валентиновка;592;78,8594999719526
101;Уфа - Кандры;737;12,6113861517605
65;Уфа - Караидель ч/з Благовещенск;577;59,3503514659685
156;Уфа - Караидель ч/з Зап. развилку;577;103,073932793181
78;Уфа - Кумертау;591;154,139719099656
39;Уфа - Кушнаренково;258;20,1355094583418
58;Уфа - Мишкино ч/з Зап. развилку;557;24,0477946532059
82;Уфа - Мраково;601;70,0299371774181
75;Уфа - Нефтекамск б/з в Дюртюли;588;110,167834298334
152;Уфа - Октябрьский через Серафимовку;600 С;162,725119434617
81;Уфа - Октябрьский через Туймазы;600 Т;153,167627208328
109;Уфа - Сибай;798;163,874663886786
62;Уфа - Федоровка;571;99,5648884782827
69;Уфа - Янаул;584;79,7252546449367
70;Уфа - Янаул ч/з зап. Развилку;584;77,4826881253465
72;Уфа - Янаул ч/з Кр. Холм;584;83,0735138614819
6;Уфа (К.Рынок)-В.Изяк;105;23,8294945346216
18;Уфа (Северный автовокзал)- Тикеево;139;11,0970015326907
344;Уфа (фирма МИР) - Кармасан;111;16,9404453297422
49;Уфа -Стерлитамак;531;118,222504220584
